sim_time_us,observer_id,known_count,entries
10528300,1,1,1:2|
10643417,42,0,
20651229,42,0,
24328040,1,1,1:3|
26601615,20,2,1:3|20:1|
26601623,30,2,1:3|30:1|
26601633,22,2,1:3|22:1|
26601641,34,2,1:3|34:1|
26601667,38,2,1:3|38:1|
29317208,1,2,1:3|34:1|
30607140,1,2,1:3|34:1|
30659042,42,0,
33390239,1,3,1:3|34:1|38:1|
33773383,1,4,1:3|30:1|34:1|38:1|
34328474,1,4,1:3|30:1|34:1|38:1|
34703868,1,4,1:3|30:1|34:1|38:1|
35845473,1,4,1:4|30:1|34:1|38:1|
40666854,42,0,
42229885,1,4,1:4|30:1|34:1|38:1|
42571037,1,4,1:4|30:1|34:1|38:1|
44093073,1,4,1:4|30:1|34:1|38:1|
46704509,1,5,1:4|22:1|30:1|34:1|38:1|
47641728,1,5,1:4|22:1|30:1|34:1|38:1|
48586778,1,5,1:4|22:1|30:1|34:1|38:1|
48971388,30,5,1:5|22:1|30:1|34:1|38:1|
48971409,22,5,1:5|22:1|30:1|34:1|38:1|
48971414,38,5,1:5|22:1|30:1|34:1|38:1|
48971439,34,5,1:5|22:1|30:1|34:1|38:1|
48972388,20,6,1:5|20:1|22:1|30:1|34:1|38:1|
48987264,1,5,1:5|22:1|30:1|34:1|38:1|
49195991,1,6,1:5|20:1|22:1|30:1|34:1|38:1|
50121337,1,6,1:5|20:1|22:1|30:1|34:1|38:1|
50674667,42,0,
51092219,1,6,1:5|20:1|22:1|30:1|34:1|38:1|
57041230,1,6,1:5|20:1|22:1|30:1|34:1|38:1|
57372211,1,6,1:5|20:1|22:1|30:1|34:1|38:1|
58038992,1,6,1:5|20:1|22:1|30:1|34:1|38:1|
58331887,1,6,1:5|20:1|22:1|30:1|34:1|38:1|
59846686,1,6,1:5|20:1|22:1|30:1|34:1|38:1|
60422940,3,1,3:2|
60449298,28,1,28:2|
60462659,13,1,13:2|
60468582,28,2,13:2|28:2|
60501165,37,1,37:2|
60518437,25,1,25:2|
60519583,31,1,31:2|
60526497,8,1,8:2|
60572971,4,1,4:2|
60574876,8,2,8:2|14:2|
60580511,15,1,15:2|
60586806,26,1,26:2|
60590052,14,1,14:2|
60599813,15,2,15:2|26:2|
60626233,38,5,1:5|22:1|30:2|34:1|38:1|
60626880,1,6,1:5|20:1|22:1|30:2|34:1|38:1|
60628838,15,7,1:5|15:2|22:1|26:2|30:2|34:1|38:1|
60652075,24,1,24:2|
60656532,17,1,17:2|
60660112,30,5,1:5|22:1|30:2|34:1|38:1|
60671384,24,2,17:2|24:2|
60675375,29,1,29:2|
60685456,42,0,
60686896,26,2,6:2|26:2|
60686901,25,2,6:2|25:2|
60694481,14,2,14:2|40:2|
60701656,6,1,6:2|
60708950,36,1,36:2|
60709359,40,1,40:2|
60732847,10,1,10:2|
60736314,6,2,6:2|27:2|
60737289,25,3,6:2|25:2|27:2|
60751524,27,1,27:2|
60821516,4,2,4:2|32:2|
60831125,34,5,1:5|22:1|30:1|34:2|38:1|
60836696,32,1,32:2|
60877721,17,2,2:2|17:2|
60892380,2,1,2:2|
60893505,37,2,12:2|37:2|
60897926,17,3,2:2|12:2|17:2|
60902054,8,3,8:2|14:2|23:2|
60908404,12,1,12:2|
60912361,3,2,3:2|41:2|
60916427,23,1,23:2|
60927564,41,1,41:2|
60941881,1,6,1:5|20:1|22:1|30:2|34:2|38:1|
60942035,20,6,1:5|20:1|22:1|30:1|34:2|38:1|
60946931,29,2,21:2|29:2|
60961831,21,1,21:2|
60986417,32,2,7:2|32:2|
60995750,13,2,13:2|33:2|
60996387,4,3,4:2|32:2|33:2|
61001161,7,1,7:2|
61006390,32,3,7:2|32:2|33:2|
61010679,33,1,33:2|
61015440,40,2,11:2|40:2|
61017284,31,2,19:2|31:2|
61017322,21,2,19:2|21:2|
61030365,11,1,11:2|
61032216,19,1,19:2|
61042723,22,5,1:5|22:2|30:1|34:1|38:1|
61106887,1,6,1:5|20:1|22:2|30:2|34:2|38:1|
61107820,2,6,1:5|2:2|22:2|30:1|34:1|38:1|
61109637,17,8,1:5|2:2|12:2|17:2|22:2|30:1|34:1|38:1|
61129934,41,2,5:2|41:2|
61130495,3,3,3:2|5:2|41:2|
61130764,14,3,5:2|14:2|40:2|
61130765,40,3,5:2|11:2|40:2|
61131298,8,4,5:2|8:2|14:2|23:2|
61144709,5,1,5:2|
61177352,10,2,10:2|18:2|
61177377,12,2,12:2|18:2|
61178170,37,3,12:2|18:2|37:2|
61183129,17,9,1:5|2:2|12:2|17:2|18:2|22:2|30:1|34:1|38:1|
61185162,7,2,7:2|16:2|
61185467,23,2,16:2|23:2|
61192278,18,1,18:2|
61200369,16,1,16:2|
61250315,10,3,10:2|18:2|39:2|
61250358,31,3,19:2|31:2|39:2|
61264444,39,1,39:2|
61293131,24,3,9:2|17:2|24:2|
61293993,31,4,9:2|19:2|31:2|39:2|
61307056,9,1,9:2|
61311690,6,3,6:2|27:2|35:2|
61311919,13,3,13:2|33:2|35:2|
61312668,25,4,6:2|25:2|27:2|35:2|
61326032,35,1,35:2|
61356123,38,5,1:5|22:1|30:2|34:1|38:2|
61366565,20,6,1:5|20:2|22:1|30:1|34:2|38:1|
62682464,20,6,1:6|20:2|22:2|30:2|34:2|38:1|
62682622,38,6,1:6|20:1|22:2|30:2|34:2|38:2|
62682627,22,6,1:6|20:1|22:2|30:2|34:2|38:1|
62682629,34,6,1:6|20:1|22:2|30:2|34:2|38:1|
62682632,30,6,1:6|20:1|22:2|30:2|34:2|38:1|
62705918,1,6,1:6|20:1|22:2|30:2|34:2|38:1|
70698397,42,0,
71555138,1,6,1:6|20:2|22:2|30:2|34:2|38:1|
71853593,1,6,1:6|20:2|22:2|30:2|34:2|38:1|
72214565,1,6,1:6|20:2|22:2|30:2|34:2|38:1|
73206941,1,6,1:7|20:2|22:2|30:2|34:2|38:1|
73227499,38,6,1:7|20:2|22:2|30:2|34:2|38:2|
73227503,22,6,1:7|20:2|22:2|30:2|34:2|38:1|
73227521,34,6,1:7|20:2|22:2|30:2|34:2|38:1|
73227524,20,6,1:7|20:2|22:2|30:2|34:2|38:1|
73227560,30,6,1:7|20:2|22:2|30:2|34:2|38:1|
74082648,1,6,1:7|20:2|22:2|30:2|34:2|38:1|
74664003,1,6,1:7|20:2|22:2|30:2|34:2|38:2|
80705917,42,0,
86340852,1,6,1:7|20:2|22:2|30:2|34:2|38:2|
87019668,1,6,1:7|20:2|22:2|30:2|34:2|38:2|
87313288,1,6,1:8|20:2|22:2|30:2|34:2|38:2|
87402589,20,6,1:8|20:2|22:2|30:2|34:2|38:2|
87402606,38,6,1:8|20:2|22:2|30:2|34:2|38:2|
87402612,34,6,1:8|20:2|22:2|30:2|34:2|38:2|
87402617,30,6,1:8|20:2|22:2|30:2|34:2|38:2|
87402640,22,6,1:8|20:2|22:2|30:2|34:2|38:2|
87608315,1,6,1:8|20:2|22:2|30:2|34:2|38:2|
88568631,1,6,1:8|20:2|22:2|30:2|34:2|38:2|
90087282,1,6,1:8|20:2|22:2|30:2|34:2|38:2|
90713729,42,0,
99461726,1,6,1:9|20:2|22:2|30:2|34:2|38:2|
99537736,20,6,1:9|20:2|22:2|30:2|34:2|38:2|
99537749,34,6,1:9|20:2|22:2|30:2|34:2|38:2|
99537761,22,6,1:9|20:2|22:2|30:2|34:2|38:2|
99537764,38,6,1:9|20:2|22:2|30:2|34:2|38:2|
99537771,30,6,1:9|20:2|22:2|30:2|34:2|38:2|
100721682,42,0,
101183002,1,6,1:9|20:2|22:2|30:2|34:2|38:2|
102769766,1,6,1:9|20:2|22:2|30:2|34:2|38:2|
103043487,1,6,1:9|20:2|22:2|30:2|34:2|38:2|
103386628,1,6,1:9|20:2|22:2|30:2|34:2|38:2|
105530274,1,6,1:9|20:2|22:2|30:2|34:2|38:2|
110729494,42,0,
110997826,1,6,1:10|20:2|22:2|30:2|34:2|38:2|
111028052,38,6,1:10|20:2|22:2|30:2|34:2|38:2|
116630188,1,6,1:10|20:2|22:2|30:2|34:2|38:2|
116892462,1,6,1:10|20:2|22:2|30:2|34:2|38:2|
117537923,1,6,1:10|20:2|22:2|30:2|34:2|38:2|
119131734,1,6,1:10|20:2|22:2|30:2|34:2|38:2|
119175258,1,7,1:10|2:2|20:2|22:2|30:2|34:2|38:2|
120020229,1,7,1:10|2:2|20:2|22:2|30:2|34:2|38:2|
120737326,42,0,
121980077,38,6,1:10|20:2|22:2|30:2|34:2|38:3|
122053235,30,6,1:10|20:2|22:2|30:2|34:2|38:3|
122053240,20,6,1:10|20:2|22:2|30:2|34:2|38:3|
122053863,1,7,1:10|2:2|20:2|22:2|30:2|34:2|38:3|
122218234,20,6,1:10|20:2|22:2|30:2|34:3|38:3|
122218846,1,7,1:10|2:2|20:2|22:2|30:2|34:3|38:3|
122222986,34,6,1:9|20:2|22:2|30:2|34:3|38:2|
122407310,30,6,1:10|20:2|22:2|30:3|34:2|38:3|
122846299,3,3,3:3|5:2|41:2|
122855861,13,4,13:2|28:3|33:2|35:2|
122874677,28,2,13:2|28:3|
122896098,28,4,13:3|28:3|33:2|35:2|
122907477,12,3,12:2|18:2|37:3|
122910289,13,4,13:3|28:3|33:2|35:2|
122925909,6,4,6:2|25:3|27:2|35:2|
122927407,14,5,5:2|8:3|14:2|23:2|40:2|
122932528,37,3,12:2|18:2|37:3|
122955648,25,4,6:2|25:3|27:2|35:2|
122955788,8,4,5:2|8:3|14:2|23:2|
122956792,31,4,9:2|19:2|31:3|39:2|
122972489,32,4,4:3|7:2|32:2|33:2|
122986016,26,8,1:5|6:2|15:3|22:1|26:2|30:2|34:1|38:1|
122990984,8,5,5:2|8:3|14:3|23:2|40:2|
122992215,40,6,5:2|8:3|11:2|14:3|23:2|40:2|
122996572,4,3,4:3|32:2|33:2|
123019693,6,11,1:5|6:2|15:3|22:1|25:3|26:3|27:2|30:2|34:1|35:2|38:1|
123025249,14,5,5:2|8:3|14:3|23:2|40:2|
123027789,15,7,1:5|15:3|22:1|26:2|30:2|34:1|38:1|
123052635,15,8,1:5|6:2|15:3|22:1|26:3|30:2|34:1|38:1|
123064461,26,8,1:5|6:2|15:3|22:1|26:3|30:2|34:1|38:1|
123065023,17,11,1:5|2:2|9:2|12:2|17:2|18:2|22:2|24:3|30:1|34:1|38:1|
123081149,21,3,19:2|21:2|29:3|
123083311,24,3,9:2|17:2|24:3|
123098490,12,10,1:5|2:2|12:2|17:3|18:2|22:2|30:1|34:1|37:3|38:1|
123100753,29,2,21:2|29:3|
123109421,25,9,1:5|6:3|15:3|25:3|26:3|27:2|30:2|34:1|35:2|
123109780,27,9,1:5|6:3|15:3|25:3|26:3|27:2|30:2|34:1|35:2|
123110791,26,11,1:5|6:3|15:3|22:1|25:3|26:3|27:2|30:2|34:1|35:2|38:1|
123111810,24,11,1:5|2:2|9:2|12:2|17:3|18:2|22:2|24:3|30:1|34:1|38:1|
123119612,14,6,5:2|8:3|11:2|14:3|23:2|40:3|
123120121,11,6,5:2|8:3|11:2|14:3|23:2|40:3|
123128334,36,1,36:3|
123150985,17,11,1:5|2:2|9:2|12:2|17:3|18:2|22:2|24:3|30:1|34:1|38:1|
123156337,10,3,10:3|18:2|39:2|
123158352,40,6,5:2|8:3|11:2|14:3|23:2|40:3|
123163291,6,11,1:5|6:3|15:3|22:1|25:3|26:3|27:2|30:2|34:1|35:2|38:1|
123166176,25,9,1:5|6:3|15:3|25:3|26:3|27:3|30:2|34:1|35:2|
123190823,6,11,1:5|6:3|15:3|22:1|25:3|26:3|27:3|30:2|34:1|35:2|38:1|
123219226,27,9,1:5|6:3|15:3|25:3|26:3|27:3|30:2|34:1|35:2|
123236318,4,4,4:3|7:2|32:3|33:2|
123236699,33,4,4:3|7:2|32:3|33:2|
123237433,7,5,4:3|7:2|16:2|32:3|33:2|
123265933,32,4,4:3|7:2|32:3|33:2|
123313795,22,7,1:9|2:3|20:2|22:2|30:2|34:2|38:2|
123316055,37,9,1:5|2:2|12:3|17:3|18:2|22:2|34:1|37:3|38:1|
123316259,18,9,1:5|2:2|12:3|17:3|18:2|22:2|34:1|37:3|38:1|
123317750,17,12,1:5|2:2|9:2|12:3|17:3|18:2|22:2|24:3|30:1|34:1|37:3|38:1|
123321617,16,2,16:2|23:3|
123324302,8,6,5:2|8:3|14:3|16:2|23:3|40:2|
123332245,5,2,5:2|41:3|
123332837,3,3,3:3|5:2|41:3|
123341809,23,2,16:2|23:3|
123342742,2,6,1:5|2:3|22:2|30:1|34:1|38:1|
123352806,41,2,5:2|41:3|
123360376,29,3,19:2|21:3|29:3|
123360548,19,3,19:2|21:3|29:3|
123368893,12,10,1:5|2:2|12:3|17:3|18:2|22:2|30:1|34:1|37:3|38:1|
123385404,21,3,19:2|21:3|29:3|
123402584,32,5,4:3|7:3|16:2|32:3|33:2|
123403840,16,6,4:3|7:3|16:2|23:3|32:3|33:2|
123417955,4,4,4:3|7:2|32:3|33:3|
123420983,13,7,4:3|7:2|13:3|28:3|32:3|33:3|35:2|
123424299,32,5,4:3|7:3|16:2|32:3|33:3|
123432693,40,6,5:2|8:3|11:3|14:3|23:2|40:3|
123436539,7,5,4:3|7:3|16:2|32:3|33:2|
123438426,21,3,19:3|21:3|29:3|
123440999,31,6,9:2|19:3|21:3|29:3|31:3|39:2|
123447765,33,4,4:3|7:2|32:3|33:3|
123463566,19,3,19:3|21:3|29:3|
123471498,11,6,5:2|8:3|11:3|14:3|23:2|40:3|
123541916,41,2,5:3|41:3|
123546100,14,7,5:3|8:3|11:2|14:3|23:2|40:3|41:3|
123546117,40,7,5:3|8:3|11:3|14:3|23:2|40:3|41:3|
123562271,5,2,5:3|41:3|
123607801,12,10,1:5|2:2|12:3|17:3|18:3|22:2|30:1|34:1|37:3|38:1|
123609301,17,12,1:5|2:2|9:2|12:3|17:3|18:3|22:2|24:3|30:1|34:1|37:3|38:1|
123609855,10,11,1:5|2:2|10:3|12:3|17:3|18:3|22:2|34:1|37:3|38:1|39:2|
123610532,7,6,4:3|7:3|16:3|23:3|32:3|33:2|
123611120,23,6,4:3|7:3|16:3|23:3|32:3|33:2|
123649445,16,6,4:3|7:3|16:3|23:3|32:3|33:2|
123659868,18,9,1:5|2:2|12:3|17:3|18:3|22:2|34:1|37:3|38:1|
123676343,10,11,1:5|2:2|10:3|12:3|17:3|18:3|22:2|34:1|37:3|38:1|39:3|
123683828,39,1,39:3|
123718595,9,1,9:3|
123745416,35,1,35:3|
123794473,22,7,1:11|2:3|20:2|22:2|30:2|34:3|38:3|
123794570,34,7,1:11|2:2|20:2|22:2|30:2|34:3|38:3|
123794593,20,7,1:11|2:2|20:2|22:2|30:2|34:3|38:3|
123794594,38,7,1:11|2:2|20:2|22:2|30:2|34:3|38:3|
123794625,30,7,1:11|2:2|20:2|22:2|30:3|34:3|38:3|
123829275,1,7,1:11|2:2|20:2|22:2|30:2|34:3|38:3|
125453830,22,7,1:11|2:3|20:2|22:3|30:2|34:3|38:3|
125519425,1,7,1:11|2:3|20:2|22:3|30:2|34:3|38:3|
